Host ID,Visible Name,Hostname,Status,IP Address,Templates,Groups,Tags
10800,GitHub - ka0s,GitHub - ka0s,Enabled,127.0.0.1,Template GitHub Repository Metrics,,
10804,iTop Server,iTop Server,Enabled,192.168.1.40,"Website by Browser, Template App iTop Service",,
10802,MongoDB - Ka0s,MongoDB - Ka0s,Enabled,192.168.1.20,Template DB MongoDB Node by Zabbix Agent 2,,
10780,k8-manager,k8-manager,Enabled,192.168.1.10,Linux by Zabbix agent,,
10781,k8-node-20,k8-node-20,Enabled,192.168.1.20,Linux by Zabbix agent,,
10782,k8-node-30,k8-node-30,Enabled,192.168.1.30,Linux by Zabbix agent,,
10783,zabbix-server,zabbix-server,Enabled,192.168.1.10,"Linux by Zabbix agent, Template Kubernetes Services Discovery",,
10784,Kubernetes Cluster,Kubernetes Cluster,Enabled,127.0.0.1,Kubernetes cluster state by HTTP,,
10789,Scheduler k8-manager,Scheduler k8-manager,Enabled,192.168.1.10,Kubernetes Scheduler by HTTP,,addr:192.168.1.10
10790,Controller manager k8-manager,Controller manager k8-manager,Enabled,192.168.1.10,Kubernetes Controller manager by HTTP,,addr:192.168.1.10
10791,API k8-manager,API k8-manager,Enabled,192.168.1.10,Kubernetes API server by HTTP,,addr:192.168.1.10
10792,Kubelet k8-manager,Kubelet k8-manager,Enabled,192.168.1.10,Kubernetes Kubelet by HTTP,,addr:192.168.1.10
10793,Kubelet k8-node-20,Kubelet k8-node-20,Enabled,192.168.1.20,Kubernetes Kubelet by HTTP,,addr:192.168.1.20
10794,Kubelet k8-node-30,Kubelet k8-node-30,Enabled,192.168.1.30,Kubernetes Kubelet by HTTP,,addr:192.168.1.30
10795,Kubelet k8-node-40,Kubelet k8-node-40,Enabled,192.168.1.40,Kubernetes Kubelet by HTTP,,addr:192.168.1.40
10796,k8-node-40,k8-node-40,Enabled,192.168.1.40,Linux by Zabbix agent,,
